GroupName,ProductId
Cap Vols,EUCF101 Curncy
Cap Vols,EUCF1010 Curncy
Cap Vols,EUCF1012 Curncy
Cap Vols,EUCF1015 Curncy
Cap Vols,EUCF102 Curncy
Cap Vols,EUCF1020 Curncy
Cap Vols,EUCF103 Curncy
Cap Vols,EUCF104 Curncy
Cap Vols,EUCF105 Curncy
Cap Vols,EUCF106 Curncy
Cap Vols,EUCF107 Curncy
Cap Vols,EUCF108 Curncy
Cap Vols,EUCF109 Curncy
Cap Vols,EUCF1710 Curncy
Cap Vols,EUCF1712 Curncy
Cap Vols,EUCF1715 Curncy
Cap Vols,EUCF1720 Curncy
Cap Vols,EUCF1751 Curncy
Cap Vols,EUCF1752 Curncy
Cap Vols,EUCF1753 Curncy
Cap Vols,EUCF1754 Curncy
Cap Vols,EUCF1755 Curncy
Cap Vols,EUCF1756 Curncy
Cap Vols,EUCF1757 Curncy
Cap Vols,EUCF1758 Curncy
Cap Vols,EUCF1759 Curncy
Cap Vols,EUCF201 Curncy
Cap Vols,EUCF2010 Curncy
Cap Vols,EUCF2012 Curncy
Cap Vols,EUCF2015 Curncy
Cap Vols,EUCF202 Curncy
Cap Vols,EUCF2020 Curncy
Cap Vols,EUCF203 Curncy
Cap Vols,EUCF204 Curncy
Cap Vols,EUCF205 Curncy
Cap Vols,EUCF206 Curncy
Cap Vols,EUCF207 Curncy
Cap Vols,EUCF208 Curncy
Cap Vols,EUCF209 Curncy
Cap Vols,EUCF2210 Curncy
Cap Vols,EUCF2212 Curncy
Cap Vols,EUCF2215 Curncy
Cap Vols,EUCF2220 Curncy
Cap Vols,EUCF2251 Curncy
Cap Vols,EUCF2252 Curncy
Cap Vols,EUCF2253 Curncy
Cap Vols,EUCF2254 Curncy
Cap Vols,EUCF2255 Curncy
Cap Vols,EUCF2256 Curncy
Cap Vols,EUCF2257 Curncy
Cap Vols,EUCF2258 Curncy
Cap Vols,EUCF2259 Curncy
Cap Vols,EUCF251 Curncy
Cap Vols,EUCF2510 Curncy
Cap Vols,EUCF2512 Curncy
Cap Vols,EUCF2515 Curncy
Cap Vols,EUCF252 Curncy
Cap Vols,EUCF2520 Curncy
Cap Vols,EUCF253 Curncy
Cap Vols,EUCF254 Curncy
Cap Vols,EUCF255 Curncy
Cap Vols,EUCF256 Curncy
Cap Vols,EUCF257 Curncy
Cap Vols,EUCF258 Curncy
Cap Vols,EUCF259 Curncy
Cap Vols,EUCF301 Curncy
Cap Vols,EUCF3010 Curncy
Cap Vols,EUCF3012 Curncy
Cap Vols,EUCF3015 Curncy
Cap Vols,EUCF302 Curncy
Cap Vols,EUCF3020 Curncy
Cap Vols,EUCF303 Curncy
Cap Vols,EUCF304 Curncy
Cap Vols,EUCF305 Curncy
Cap Vols,EUCF306 Curncy
Cap Vols,EUCF307 Curncy
Cap Vols,EUCF308 Curncy
Cap Vols,EUCF309 Curncy
