ProductId,AsOfDate,Value
EUCF9012 Curncy,31/12/2019,4741.6996798
Gov2026 Govt,31/12/2019,1.2988306541
EUSN2020 Curncy,31/12/2019,0.0919909888
G0014Z 6Y BLC2 Curncy,31/12/2019,0.0000058892
EUSN0F25 Curncy,31/12/2019,0.9047814361
EUSA1 Curncy,31/12/2019,0.0000103207
EUSN0220 Curncy,31/12/2019,0.8014726540
EUSN012 Curncy,31/12/2019,0.000513796
G0020Z 15Y BLC2 Curncy,31/12/2019,0.0000032677
EUSN153 Curncy,31/12/2019,0.4471597219
EUCF359 Curncy,31/12/2019,8759.0881248
G0177Z 15Y BLC2 Curncy,31/12/2019,0.0004453215
EUSN026 Curncy,31/12/2019,0.100489912
EUFR0CI Curncy,31/12/2019,0.0000102547
Gov2048 Govt,31/12/2019,1.6151045725
EUSN0320 Curncy,31/12/2019,0.769743612
EUSN0A15 Curncy,31/12/2019,0.6119933642
EUSA35 Curncy,31/12/2019,0.0000363764
G0177Z 1Y BLC2 Curncy,31/12/2019,0.0001246464
EUCF1020 Curncy,31/12/2019,18464.73323775
EUSN0730 Curncy,31/12/2019,0.4541412842
EUCF3512 Curncy,31/12/2019,8750.667025891
G0040Z 1Y BLC2 Curncy,31/12/2019,0.0000034430
G0014Z 15Y BLC2 Curncy,31/12/2019,0.0000207535
EUSN0C3 Curncy,31/12/2019,0.0006477214
Corp2022_A Govt,31/12/2019,1.0709357411
Corp2032_A Govt,31/12/2019,1.1474694514
EUSA30 ISCF Index,31/12/2019,0.000041677
EUSN0A25 Curncy,31/12/2019,0.9445896183
Corp2021_BBB Govt,31/12/2019,1.0622509818
G0061Z 8Y BLC2 Curncy,31/12/2019,0.0000095132
EUCF1715 Curncy,31/12/2019,13339.09503674
Gov2044 Govt,31/12/2019,2.5848601741
EUSWE40 Curncy,31/12/2019,0.0000207251
Gov2021 Govt,31/12/2019,1.0726494591
EUSA50 Curncy,31/12/2019,0.0000262695
EUSN0715 Curncy,31/12/2019,0.6648772507
EUSN0725 Curncy,31/12/2019,0.5180401153
Corp2036_BBB Govt,31/12/2019,1.3066776803
EUSWE2Z Curncy,31/12/2019,0.0000198665
Corp2034_AA Govt,31/12/2019,1.180265816
EULFD6M ISCF Curncy,31/12/2019,0.0000106384
G0061Z 5Y BLC2 Curncy,31/12/2019,0.0000001959
EUSN0110 Curncy,31/12/2019,0.2802114625
EUSN207 Curncy,31/12/2019,0.1613629867
Corp2033_BBB Govt,31/12/2019,2.2699105546
EUCF601 Curncy,31/12/2019,6367.242025826
EUSN0F20 Curncy,31/12/2019,0.8543305703
G0014Z 3Y BLC2 Curncy,31/12/2019,0.0000299471
G0061Z 4Y BLC2 Curncy,31/12/2019,0.0000024594
Gov2023 Govt,31/12/2019,1.2087936877
EUCF108 Curncy,31/12/2019,18483.76203982
EUSN0C15 Curncy,31/12/2019,0.6168532175
EUCF355 Curncy,31/12/2019,8780.627025582
G0014Z 7Y BLC2 Curncy,31/12/2019,0.0000022141
EUSN1025 Curncy,31/12/2019,0.3809976878
Corp2025_BBB Govt,31/12/2019,1.0968818348
EUCF107 Curncy,31/12/2019,18489.20063263
EUSN041 Curncy,31/12/2019,0.0107123517
EUCF9020 Curncy,31/12/2019,4736.1924829
EUCF806 Curncy,31/12/2019,5153.8041297
EUCF2257 Curncy,31/12/2019,11498.2729436
EUCF702 Curncy,31/12/2019,5842.309225491
Gov2040 Govt,31/12/2019,1.9812908114
EUSN011 Curncy,31/12/2019,0.000513711
EUSWEF Curncy,31/12/2019,0.0000197976
EUCF2215 Curncy,31/12/2019,11475.76563881
EUCF3510 Curncy,31/12/2019,8756.280625963
EUSWEH Curncy,31/12/2019,0.0000198195
EUCF404 Curncy,31/12/2019,0.7997725250
Corp2033_A Govt,31/12/2019,1.2389916978
EUCF354 Curncy,31/12/2019,8690.900625902
EUCF403 Curncy,31/12/2019,0.7904099946
G0040Z 4Y BLC2 Curncy,31/12/2019,0.0000206225
EUCF2510 Curncy,31/12/2019,10774.44684
EUSW9V3  Curncy,31/12/2019,0.0000004874
EUSN101 Curncy,31/12/2019,0.5846132593
EUSN2030 Curncy,31/12/2019,0.0692479358
G0061Z 10Y BLC2 Curncy,31/12/2019,0.0000237921
EUCF1010 Curncy,31/12/2019,18476.9649614
Corp2028_BBB Govt,31/12/2019,1.1217914622
G0016Z 1Y BLC2 Curncy,31/12/2019,0.0000423286
Gov2035 Govt,31/12/2019,1.7832486496
G0177Z 5Y BLC2 Curncy,31/12/2019,0.0003298647
EUSN025 Curncy,31/12/2019,0.0498852767
EUCV8 Curncy,31/12/2019,58786.8516725
Gov2046 Govt,31/12/2019,1.8805881715
EUSN0C8 Curncy,31/12/2019,0.0662805910
G0040Z 6Y BLC2 Curncy,31/12/2019,0.0000739827
EUCF309 Curncy,31/12/2019,9639.3124484
EUSA7 ISCF Index,31/12/2019,0.0000002424
EUCF907 Curncy,31/12/2019,4757.550625468
Corp2024_AA Govt,31/12/2019,1.0167949202
EUCF401 Curncy,31/12/2019,0.8458481431
EUSN0125 Curncy,31/12/2019,0.8627623296
EUSN0C6 Curncy,31/12/2019,0.0006477513
EUSWEB Curncy,31/12/2019,0.0000207968
EUCF353 Curncy,31/12/2019,8587.7289713
EUCF608 Curncy,31/12/2019,6215.7456724
EUCF803 Curncy,31/12/2019,5070.8641580
EUSA12 Curncy,31/12/2019,0.0000096629
EUSA18 Curncy,31/12/2019,0.0000315113
EUSWE3 Curncy,31/12/2019,0.0000152463
EUCF2259 Curncy,31/12/2019,11488.62423301
Corp2022_AA Govt,31/12/2019,1.0763336547
EUCF903 Curncy,31/12/2019,4692.25941
Corp2025_AA Govt,31/12/2019,1.1641793655
EUCF7015 Curncy,31/12/2019,5603.271025293
EK141813 Corp,31/12/2019,1.2564144863
EUCF805 Curncy,31/12/2019,5160.9856988
Corp2032_BBB Govt,31/12/2019,1.1032001992
EUCF301 Curncy,31/12/2019,1.0390744745
Corp2039_AA Govt,31/12/2019,1.004004187
EUSWE5 Curncy,31/12/2019,0.0000088793
EUCF204 Curncy,31/12/2019,1.2213565486
EUSN206 Curncy,31/12/2019,0.1761061818
EUSWEG Curncy,31/12/2019,0.0000197322
EUSN0C20 Curncy,31/12/2019,0.8657372477
EUSN203 Curncy,31/12/2019,0.1976692946
EUCF251 Curncy,31/12/2019,11884.27023942
EUSN0515 Curncy,31/12/2019,0.72233981
Gov2047 Govt,31/12/2019,1.6207492224
G0020Z 8Y BLC2 Curncy,31/12/2019,0.000003312
EUFR0EK Curncy,31/12/2019,0.0000099432
G0040Z 5Y BLC2 Curncy,31/12/2019,0.0000439438
EU Index,31/12/2019,0.000004273
EUSN029 Curncy,31/12/2019,0.3056984536
EUSA15 ISCF Index,31/12/2019,0.0000225658
EUFR0H1B Curncy,31/12/2019,0.0000091153
EUSN0120 Curncy,31/12/2019,0.834665706
Corp2028_A Govt,31/12/2019,1.1469002817
G0061Z 6Y BLC2 Curncy,31/12/2019,0.0000006156
EUCF703 Curncy,31/12/2019,5533.8721885
EUCF602 Curncy,31/12/2019,6528.64216
Corp2031_A Govt,31/12/2019,1.1108282671
G0040Z 2Y BLC2 Curncy,31/12/2019,0.0000002900
EUSN252 Curncy,31/12/2019,0.0679906352
EUSA2 ISCF Index,31/12/2019,0.0000085442
EUCF103 Curncy,31/12/2019,1.803649925
EUR006M Index,31/12/2019,0.0000105291
EUSWE4 Curncy,31/12/2019,0.0000121950
EUSN0A4 Curncy,31/12/2019,0.0006943573
EUSA4 ISCF Index,31/12/2019,0.000003508
EUCF809 Curncy,31/12/2019,5140.173025570
EUSN255 Curncy,31/12/2019,0.0680427731
EUSW11V3  Curncy,31/12/2019,0.0000036175
G0016Z 2Y BLC2 Curncy,31/12/2019,0.0000373330
EUSA14 Curncy,31/12/2019,0.0000181462
Corp2038_BBB Govt,31/12/2019,1.6586864489
G0014Z 10Y BLC2 Curncy,31/12/2019,0.0000014169
EUSN0230 Curncy,31/12/2019,0.7439063733
EUSA30 Curncy,31/12/2019,0.0000394134
EUSN0C1 Curncy,31/12/2019,0.0006477314
EUSN2520 Curncy,31/12/2019,0.0445421556
EUSN021 Curncy,31/12/2019,0.0003901749
EUSWEK Curncy,31/12/2019,0.0000199424
Gov2042 Govt,31/12/2019,2.6497328241
